STATES,Temp,Humid,AQI,AQI-IN,AQI-US,PM10,PM2.5,Status
Andhra Pradesh,25,60,129,123,129,123,56,POOR
Arunachal Pradesh,14,44,181,277,181,175,113,UNHEALTHY
Assam,20,73,188,271,188,210,132,UNHEALTHY
Bihar,23,52,216,300,216,274,112,SEVERE
Chandigarh,17,48,127,93,127,79,49,POOR
Chhattisgarh,28,14,71,94,71,96,15,MODERATE
Dadra And Nagar Haveli,25,37,155,113,155,78,64,UNHEALTHY
Daman And Diu,25,37,119,72,119,64,43,POOR
Delhi,21,43,117,118,117,129,42,POOR
Goa,26,70,158,218,158,261,35,UNHEALTHY
Gujarat,26,28,123,90,123,88,47,POOR
Haryana,21,44,110,86,110,78,40,POOR
Himachal Pradesh,13,60,50,28,50,27,15,GOOD
Jammu And Kashmir,5,72,31,19,31,18,8,GOOD
Jharkhand,23,29,93,92,93,95,27,MODERATE
Karnataka,27,32,84,60,84,63,26,MODERATE
Kerala,29,71,112,83,112,82,40,POOR
Madhya Pradesh,23,35,76,69,76,72,23,MODERATE
Maharashtra,28,42,129,124,129,126,59,POOR
Manipur,16,44,103,94,103,98,37,POOR
Meghalaya,14,60,166,180,166,112,84,UNHEALTHY
Mizoram,19,46,41,38,41,38,9,GOOD
Nagaland,14,44,61,42,61,42,17,MODERATE
Odisha,24,52,113,104,113,108,41,POOR
Puducherry,27,74,115,75,115,75,41,POOR
Punjab,18,49,90,64,90,65,31,MODERATE
Rajasthan,25,30,84,69,84,68,28,MODERATE
Sikkim,5,68,153,122,153,80,65,UNHEALTHY
Tamil Nadu,28,59,97,78,97,77,33,MODERATE
Telangana,26,33,108,82,108,78,38,POOR
Tripura,20,83,252,336,252,307,119,SEVERE
Uttar Pradesh,20,49,87,77,87,79,28,MODERATE
Uttarakhand,17,51,62,38,62,38,18,MODERATE
West Bengal,25,41,131,131,131,125,57,POOR
